
🌿 KisanBazaar server running at http://localhost:8080
💳 Razorpay: ⚠️  Keys not set — add them to .env

  To configure Razorpay:
  1. Go to https://dashboard.razorpay.com → Test Mode → Settings → API Keys
  2. Edit kisanbazaar/.env and replace the placeholder values
  3. Restart the server: node server.js

[2026-03-29T18:16:14.934Z] GET /
[2026-03-29T18:16:14.951Z] GET /css/style.css
[2026-03-29T18:16:14.953Z] GET /images/produce_basket.png
[2026-03-29T18:16:14.954Z] GET /images/favicon-32x32.png
[2026-03-29T18:16:14.956Z] GET /js/cart.js
[2026-03-29T18:16:14.957Z] GET /js/main.js
[2026-03-29T18:16:14.959Z] GET /js/app.js
[2026-03-29T18:16:14.973Z] GET /images/sunflower_bg.jpg
[2026-03-29T18:16:14.974Z] GET /images/popular_banner_v2.png
[2026-03-29T18:16:15.012Z] GET /images/categories/vegetables_3d.png
[2026-03-29T18:16:15.013Z] GET /images/products/mangoes.png
[2026-03-29T18:16:15.013Z] GET /images/products/wheat-flour.png
[2026-03-29T18:16:15.013Z] GET /images/products/milk.png
[2026-03-29T18:16:15.013Z] GET /images/products/ginger.png
[2026-03-29T18:16:15.014Z] GET /images/products/turmeric.png
[2026-03-29T18:16:15.032Z] GET /images/products/chickpeas.png
[2026-03-29T18:16:15.033Z] GET /images/products/tomatoes.png
[2026-03-29T18:16:15.033Z] GET /images/products/carrot.png
[2026-03-29T18:16:15.034Z] GET /images/products/broccoli.png
[2026-03-29T18:18:19.982Z] GET /products.html
[2026-03-29T18:18:19.997Z] GET /css/style.css
[2026-03-29T18:18:19.998Z] GET /js/cart.js
[2026-03-29T18:18:19.999Z] GET /js/app.js
[2026-03-29T18:18:20.008Z] GET /api/products
[2026-03-29T18:18:20.012Z] GET /images/popular_promo.png
[2026-03-29T18:18:20.025Z] GET /images/products/ginger.png
[2026-03-29T18:18:20.025Z] GET /images/products/tomatoes.png
[2026-03-29T18:18:20.028Z] GET /images/products/mangoes.png
[2026-03-29T18:18:20.028Z] GET /images/products/wheat-flour.png
[2026-03-29T18:18:20.029Z] GET /images/products/chickpeas.png
[2026-03-29T18:18:20.030Z] GET /images/products/milk.png
[2026-03-29T18:18:20.031Z] GET /images/products/turmeric.png
[2026-03-29T18:18:20.039Z] GET /images/products/bell_pepper_yellow_real.png
[2026-03-29T18:18:20.040Z] GET /images/products/ragi_1773599981126.png
[2026-03-29T18:18:20.040Z] GET /images/products/maize_1773600203331.png
[2026-03-29T18:18:20.040Z] GET /images/products/basmati-rice.png
[2026-03-29T18:18:20.040Z] GET /images/products/moong-dal.png
[2026-03-29T18:18:20.041Z] GET /images/products/carrot_real.png
[2026-03-29T18:18:20.055Z] GET /images/products/cucumber.png
[2026-03-29T18:18:20.055Z] GET /images/products/bell_pepper_red_real.png
[2026-03-29T18:18:20.056Z] GET /images/products/cabbage_real.png
[2026-03-29T18:18:20.057Z] GET /images/products/broccoli_v2.png
[2026-03-29T18:18:20.065Z] GET /images/products/potatoes.png
[2026-03-29T18:18:20.066Z] GET /images/products/beetroot_real.png
[2026-03-29T18:18:20.066Z] GET /images/products/garlic.png
[2026-03-29T18:18:20.075Z] GET /images/products/onions.png
[2026-03-29T18:18:20.075Z] GET /images/products/spinach.png
[2026-03-29T18:18:20.078Z] GET /images/products/cauliflower.png
[2026-03-29T18:18:20.079Z] GET /images/products/green-peas.png
[2026-03-29T18:18:20.079Z] GET /images/products/french_beans_1773600471628.png
[2026-03-29T18:18:20.086Z] GET /images/products/radish_1773600558714.png
[2026-03-29T18:18:20.100Z] GET /images/products/green-chillies.png
[2026-03-29T18:18:20.101Z] GET /images/products/bitter_gourd_real.png
[2026-03-29T18:18:20.102Z] GET /images/products/ridge_gourd_real.png
[2026-03-29T18:18:20.103Z] GET /images/products/pumpkin_real.png
[2026-03-29T18:18:20.105Z] GET /images/products/drumstick_real.png
[2026-03-29T18:18:20.110Z] GET /images/products/capsicum_real.png
[2026-03-29T18:18:20.122Z] GET /images/products/orange.png
[2026-03-29T18:18:20.123Z] GET /images/products/apple.png
[2026-03-29T18:18:20.124Z] GET /images/products/banana_robusta_real.png
[2026-03-29T18:18:20.125Z] GET /images/products/pomegranate_real.png
[2026-03-29T18:18:20.125Z] GET /images/products/papaya_real.png
[2026-03-29T18:18:20.132Z] GET /images/products/guava_real.png
[2026-03-29T18:18:20.134Z] GET /images/products/custard_apple_real.png
[2026-03-29T18:18:20.135Z] GET /images/products/watermelon_1773599596616.png
[2026-03-29T18:18:20.144Z] GET /images/products/muskmelon_1773599617680.png
[2026-03-29T18:18:20.145Z] GET /images/products/strawberry_1773599656220.png
[2026-03-29T18:18:20.146Z] GET /images/products/pineapple_1773599691785.png
[2026-03-29T18:18:20.147Z] GET /images/products/kiwi_1773600112964.png
[2026-03-29T18:18:20.159Z] GET /images/products/dragon_fruit_1773599756927.png
[2026-03-29T18:18:20.160Z] GET /images/products/pear_1773599784453.png
[2026-03-29T18:18:20.166Z] GET /images/products/chikoo_real.png
[2026-03-29T18:18:20.168Z] GET /images/products/grapes.png
[2026-03-29T18:18:20.170Z] GET /images/products/plum_1773600148242.png
[2026-03-29T18:18:20.171Z] GET /images/products/brown_rice_1773599824210.png
[2026-03-29T18:18:20.172Z] GET /images/products/jowar_1773599853798.png
[2026-03-29T18:18:20.175Z] GET /images/products/black_rice_1773600173290.png
[2026-03-29T18:18:20.193Z] GET /favicon.ico
[2026-03-29T18:18:20.196Z] GET /images/products/bajra_1773599928300.png
[2026-03-29T18:18:20.201Z] GET /images/products/toor-dal.png
[2026-03-29T18:18:20.201Z] GET /images/products/red-lentils.png
[2026-03-29T18:18:20.202Z] GET /images/products/product_a2_milk_glass_bottle_1773582219298.png
[2026-03-29T18:18:20.202Z] GET /images/products/paneer.png
[2026-03-29T18:18:20.204Z] GET /images/products/groundnut-oil.png
[2026-03-29T18:18:20.220Z] GET /images/products/cashew.png
[2026-03-29T18:18:20.220Z] GET /images/products/walnut.png
[2026-03-29T18:18:23.315Z] GET /index.html
[2026-03-29T18:18:23.345Z] GET /css/style.css
[2026-03-29T18:18:23.346Z] GET /images/produce_basket.png
[2026-03-29T18:18:23.347Z] GET /images/favicon-32x32.png
[2026-03-29T18:18:23.350Z] GET /js/cart.js
[2026-03-29T18:18:23.350Z] GET /js/main.js
[2026-03-29T18:18:23.350Z] GET /js/app.js
[2026-03-29T18:18:23.354Z] GET /images/sunflower_bg.jpg
[2026-03-29T18:18:23.355Z] GET /images/popular_banner_v2.png
[2026-03-29T18:18:23.365Z] GET /images/categories/vegetables_3d.png
[2026-03-29T18:18:23.365Z] GET /images/products/mangoes.png
[2026-03-29T18:18:23.365Z] GET /images/products/wheat-flour.png
[2026-03-29T18:18:23.365Z] GET /images/products/milk.png
[2026-03-29T18:18:23.365Z] GET /images/products/ginger.png
[2026-03-29T18:18:23.366Z] GET /images/products/turmeric.png
[2026-03-29T18:18:23.372Z] GET /images/products/chickpeas.png
[2026-03-29T18:18:23.372Z] GET /images/products/tomatoes.png
[2026-03-29T18:18:23.373Z] GET /images/products/carrot.png
[2026-03-29T18:18:23.373Z] GET /images/products/broccoli.png
[2026-03-29T18:18:28.585Z] GET /products.html
[2026-03-29T18:18:28.603Z] GET /css/style.css
[2026-03-29T18:18:28.606Z] GET /js/cart.js
[2026-03-29T18:18:28.606Z] GET /js/app.js
[2026-03-29T18:18:28.610Z] GET /images/popular_promo.png
[2026-03-29T18:18:28.615Z] GET /api/products
[2026-03-29T18:18:28.618Z] GET /favicon.ico
[2026-03-29T18:18:28.622Z] GET /images/products/bell_pepper_yellow_real.png
[2026-03-29T18:18:28.623Z] GET /images/products/ragi_1773599981126.png
[2026-03-29T18:18:28.624Z] GET /images/products/maize_1773600203331.png
[2026-03-29T18:18:28.624Z] GET /images/products/basmati-rice.png
[2026-03-29T18:18:28.625Z] GET /images/products/moong-dal.png
[2026-03-29T18:18:28.625Z] GET /images/products/carrot_real.png
[2026-03-29T18:18:28.632Z] GET /images/products/cucumber.png
[2026-03-29T18:18:28.633Z] GET /images/products/bell_pepper_red_real.png
[2026-03-29T18:18:28.633Z] GET /images/products/cabbage_real.png
